,Audit,Bribery,Misstatements,Uncertain,Deceptive,Financial,Internal Controls,M&A,International,Executives,Negative,Litiguous
PARETEUMCorp,"audit:1, review:1","dollars:1, revenue:18",,"may:15, uncertain:3, likely:1","although:2, however:1, excluding:3, yet:1","debt:10, security:1, tax:19, equity:11, liability:4, asset:4, balance:7",accounting:9,"acquisition:34, acquired:12, merger:1, purchase:18","global:2, international:3, foreign:8",,"loss:30, decline:5, uncertain:3, decrease:11","contracts:2, claims:1"
UnderArmour_MDNA,"appeal:1, audit:1, review:2","dollars:2, revenue:36, gift:3","margin:11, profit:6","may:49, possible:4, might:1, uncertain:7, depends:2, likely:4, probability:1","except:1, although:6, however:11, excluding:5, yet:2","debt:15, lease:14, security:3, tax:38, equity:15, liability:14, asset:22, balance:18","accounting:15, transition:2, document:1","acquisition:5, acquired:2, merge:1, purchase:11","global:20, international:6, foreign:30",chief:1,"loss:24, decline:6, uncertain:7, decrease:23","contracts:10, claims:1, settlements:2"
HEALTHCARE_SERVICESGROUPINC,review:3,revenue:7,"renewable:1, profit:1","may:11, possible:1, uncertain:1","except:2, although:2, however:7, excluding:3, yet:1","debt:9, lease:3, security:2, tax:2, equity:1, liability:13, balance:2","accounting:15, transition:2",purchase:1,,,"loss:11, decline:3, uncertain:1, fall:2, decrease:2","contracts:1, claims:21"
WEXInc,"appeal:1, claimants:1, audit:1, review:6","dollars:7, revenue:63",margin:3,"may:40, possible:2, might:2, uncertain:2, likely:10","except:1, although:3, however:7, excluding:10, yet:1","debt:44, lease:7, tax:63, equity:6, liability:3, asset:17, balance:19","accounting:15, collaboration:2","acquisition:38, acquired:17, merger:1, purchase:45","global:1, international:5, foreign:30","trustee:2, chief:1, executive:2","loss:40, decline:9, uncertain:2, decrease:29","contracts:4, claims:3"
KHC_MDNA,review:4,"millions:15, dollars:3, revenue:3",profit:1,"may:19, possible:3, might:2, uncertain:3, depends:1, likely:5, potentially:2, probability:1","except:4, although:1, however:5, excluding:12","debt:40, tax:64, equity:8, liability:2, asset:18, balance:11","accounting:11, transition:1","acquisition:4, merger:1, purchase:13, deal:8","global:7, international:19, foreign:18","trustee:1, officer:1","loss:34, decline:2, uncertain:3, decrease:16","contracts:13, claims:4, settlements:1"
Sequential_Brands_Group,"appeal:1, audit:2, review:2","dollars:1, revenue:25",,"may:13, possible:1, uncertain:1, likely:3","except:1, although:1, however:3, excluding:5","debt:12, lease:1, security:1, tax:28, equity:2, asset:8, balance:12","accounting:14, transition:1","acquisition:2, purchase:3, deal:1","global:1, international:4, foreign:2",,"loss:15, uncertain:1, decrease:5",contracts:2
TANDY_LEATHER_FACTORY_INC_DiffYr,review:2,"millions:1, dollars:1, revenue:7, gift:6","margin:2, profit:3","may:14, uncertain:3, likely:1","except:2, however:1, excluding:1","debt:2, lease:30, security:1, tax:24, equity:2, liability:6, asset:12, balance:3","accounting:13, transition:1",purchase:6,"global:2, international:1, foreign:3","chief:1, officer:1, executive:1","loss:8, decline:2, uncertain:3, decrease:5",
Sequential_Brands_Group_Inc,"appeal:1, audit:2, review:2","dollars:1, revenue:25",,"may:13, possible:1, uncertain:1, likely:3","except:1, although:1, however:3, excluding:5","debt:13, lease:1, security:1, tax:28, equity:2, asset:8, balance:12","accounting:14, transition:1","acquisition:2, purchase:3, deal:1","global:1, international:4, foreign:2",,"loss:15, uncertain:1, decrease:5",contracts:2
TANDY_LEATHER_FACTORY_INC,"appeal:1, audit:1, review:2","millions:1, dollars:2, revenue:7, gift:6","margin:2, profit:7","may:17, uncertain:3, likely:1","except:1, however:2, excluding:1","debt:4, lease:27, security:1, tax:29, equity:2, liability:4, asset:11, balance:6","accounting:14, transition:6",purchase:5,"global:3, international:1, foreign:7","chief:1, officer:1, executive:1","loss:6, decline:4, uncertain:3, decrease:4",
AMYRIS,,revenue:21,"sustainable:4, renewable:8, margin:2","may:8, possible:1, might:1, uncertain:3, likely:1",,"debt:41, lease:1, security:1, tax:2, equity:5, asset:2","accounting:8, collaboration:12, transition:2",,"global:3, international:1",,"loss:16, uncertain:3, decrease:10",
